date,merchant,amount
10/03/2025,ICLOUD STORAGE,-0.99
10/03/2025,MICROSOFT 365,-9.99
10/03/2025,NORDVPN,-3.99
10/03/2025,KROGER,-16.50
10/03/2025,DIRECT DEPOSIT,4441.92
10/03/2025,ZELLE PAYMENT,460.60
10/04/2025,ADOBE CREATIVE CLOUD,-54.99
10/04/2025,GOOGLE ONE STORAGE,-2.99
10/04/2025,GOOGLE CLOUD STORAGE,-2.99
10/04/2025,MCDONALDS,-8.12
10/05/2025,NETFLIX,-17.99
10/05/2025,SPOTIFY PREMIUM,-10.99
10/05/2025,CHATGPT PLUS,-20.00
10/05/2025,NEW YORK TIMES DIGITAL,-8.50
10/05/2025,NORDSTROM,-119.14
10/05/2025,WATER UTILITY,-60.20
10/06/2025,WALMART,-58.18
10/06/2025,NORDSTROM,-62.46
10/07/2025,WATER UTILITY,-42.40
10/08/2025,ELECTRIC COMPANY,-156.60
10/09/2025,NORDSTROM,-176.47
10/10/2025,WHOLE FOODS MARKET,-105.75
10/10/2025,MCDONALDS,-9.39
10/10/2025,MCDONALDS,-11.87
10/10/2025,ELECTRIC COMPANY,-133.83
10/11/2025,BEST BUY,-124.00
10/11/2025,ATT WIRELESS,-85.00
10/11/2025,UBER EATS,-13.61
10/11/2025,WALMART,-96.98
10/12/2025,ZELLE PAYMENT,113.64
10/12/2025,ELECTRIC COMPANY,-175.63
10/13/2025,SHELL GAS STATION,-59.16
10/13/2025,NORDSTROM,-177.72
10/14/2025,ATT WIRELESS,-85.00
10/15/2025,HOME DEPOT,-72.63
10/15/2025,ZELLE PAYMENT,373.81
10/17/2025,SHELL GAS STATION,-48.47
10/17/2025,DIRECT DEPOSIT,4511.37
10/18/2025,ATT WIRELESS,-85.00
10/18/2025,TARGET,-66.69
10/19/2025,CHIPOTLE MEXICAN GRILL,-13.33
10/19/2025,MCDONALDS,-7.25
10/20/2025,ZELLE PAYMENT,483.98
10/20/2025,ZELLE PAYMENT,226.38
10/22/2025,KROGER,-91.97
10/23/2025,COSTCO WHOLESALE,-56.46
10/24/2025,ATT WIRELESS,-85.00
10/24/2025,NORDSTROM,-151.56
10/26/2025,WHOLE FOODS MARKET,-96.03
10/26/2025,WHOLE FOODS MARKET,-95.94
10/26/2025,ZELLE PAYMENT,319.05
10/26/2025,COSTCO WHOLESALE,-56.88
10/26/2025,UBER EATS,-18.04
10/27/2025,DIRECT DEPOSIT,4874.99
10/27/2025,CHIPOTLE MEXICAN GRILL,-10.64
10/27/2025,CHIPOTLE MEXICAN GRILL,-14.70
10/28/2025,SHELL GAS STATION,-47.44
10/28/2025,CHIPOTLE MEXICAN GRILL,-15.38
10/28/2025,WHOLE FOODS MARKET,-73.06
11/01/2025,SPOTIFY PREMIUM,-10.99
11/01/2025,ICLOUD STORAGE,-0.99
11/01/2025,NORDVPN,-3.99
11/01/2025,WATER UTILITY,-53.78
11/01/2025,WATER UTILITY,-50.08
11/01/2025,CHIPOTLE MEXICAN GRILL,-13.67
11/01/2025,MCDONALDS,-10.22
11/02/2025,AWS AMAZON WEB SERVICES,-57.83
11/02/2025,GOOGLE ONE STORAGE,-2.99
11/02/2025,MICROSOFT 365,-9.99
11/02/2025,WHOLE FOODS MARKET,-114.79
11/02/2025,PANERA BREAD,-12.21
11/03/2025,PLANET FITNESS,-49.99
11/03/2025,GITHUB COPILOT,-10.00
11/03/2025,WALMART,-78.66
11/04/2025,ADOBE CREATIVE CLOUD,-54.99
11/04/2025,GOOGLE CLOUD STORAGE,-2.99
11/04/2025,CHATGPT PLUS,-20.00
11/04/2025,NEW YORK TIMES DIGITAL,-8.50
11/04/2025,HOME DEPOT,-194.93
11/04/2025,NORDSTROM,-110.28
11/04/2025,COSTCO WHOLESALE,-202.47
11/04/2025,NORDSTROM,-122.29
11/05/2025,NETFLIX,-17.99
11/05/2025,DISNEY PLUS,-13.99
11/05/2025,DIRECT DEPOSIT,3505.87
11/05/2025,WATER UTILITY,-47.60
11/05/2025,DIRECT DEPOSIT,3046.83
11/07/2025,SHELL GAS STATION,-69.33
11/08/2025,ATT WIRELESS,-85.00
11/08/2025,DIRECT DEPOSIT,4046.13
11/11/2025,CVS PHARMACY,-9.00
11/11/2025,WHOLE FOODS MARKET,-46.10
11/11/2025,UBER EATS,-27.00
11/12/2025,ATT WIRELESS,-85.00
11/12/2025,SHELL GAS STATION,-51.68
11/12/2025,MCDONALDS,-6.48
11/12/2025,KROGER,-88.66
11/12/2025,DIRECT DEPOSIT,3073.31
11/12/2025,AMAZON MARKETPLACE,-176.35
11/13/2025,WATER UTILITY,-63.91
11/13/2025,ELECTRIC COMPANY,-90.54
11/15/2025,SHELL GAS STATION,-44.94
11/15/2025,COMCAST CABLE,-126.67
11/16/2025,ELECTRIC COMPANY,-81.92
11/16/2025,KROGER,-17.23
11/17/2025,WALMART,-37.09
11/18/2025,SHELL GAS STATION,-36.63
11/19/2025,NORDSTROM,-140.02
11/20/2025,COMCAST CABLE,-128.42
11/20/2025,COSTCO WHOLESALE,-188.70
11/21/2025,WHOLE FOODS MARKET,-121.39
11/21/2025,HOME DEPOT,-68.07
11/21/2025,PANERA BREAD,-13.29
11/22/2025,COMCAST CABLE,-126.25
11/22/2025,UBER EATS,-17.60
11/22/2025,TARGET,-111.59
11/24/2025,CHIPOTLE MEXICAN GRILL,-11.61
11/24/2025,TARGET,-38.99
11/24/2025,COMCAST CABLE,-112.21
11/26/2025,WATER UTILITY,-55.82
11/27/2025,CHIPOTLE MEXICAN GRILL,-15.69
11/27/2025,COSTCO WHOLESALE,-146.92
11/28/2025,PANERA BREAD,-15.84
12/01/2025,GOOGLE ONE STORAGE,-2.99
12/01/2025,GOOGLE CLOUD STORAGE,-2.99
12/01/2025,NORDVPN,-3.99
12/01/2025,HOME DEPOT,-27.11
12/01/2025,WHOLE FOODS MARKET,-50.97
12/02/2025,GITHUB COPILOT,-10.00
12/02/2025,NEW YORK TIMES DIGITAL,-8.50
12/02/2025,ZELLE PAYMENT,401.59
12/03/2025,NETFLIX,-17.99
12/03/2025,AWS AMAZON WEB SERVICES,-48.61
12/03/2025,DISNEY PLUS,-13.99
12/03/2025,MICROSOFT 365,-9.99
12/03/2025,MCDONALDS,-8.89
12/03/2025,ZELLE PAYMENT,206.34
12/03/2025,CHIPOTLE MEXICAN GRILL,-11.10
12/03/2025,COMCAST CABLE,-113.53
12/04/2025,SPOTIFY PREMIUM,-10.99
12/04/2025,ADOBE CREATIVE CLOUD,-54.99
12/04/2025,ICLOUD STORAGE,-0.99
12/04/2025,MCDONALDS,-8.40
12/05/2025,PLANET FITNESS,-49.99
12/05/2025,CHATGPT PLUS,-20.00
12/05/2025,BEST BUY,-291.26
12/05/2025,CVS PHARMACY,-28.09
12/05/2025,MCDONALDS,-5.17
12/06/2025,PANERA BREAD,-10.88
12/06/2025,CHIPOTLE MEXICAN GRILL,-13.57
12/06/2025,SHELL GAS STATION,-45.90
12/07/2025,AMAZON MARKETPLACE,-66.23
12/07/2025,WALMART,-82.06
12/07/2025,BEST BUY,-228.54
12/08/2025,KROGER,-20.55
12/09/2025,ATT WIRELESS,-85.00
12/09/2025,COSTCO WHOLESALE,-80.81
12/10/2025,PANERA BREAD,-11.66
12/10/2025,AMAZON MARKETPLACE,-176.22
12/10/2025,PANERA BREAD,-13.68
12/11/2025,ZELLE PAYMENT,485.40
12/11/2025,KROGER,-26.77
12/12/2025,ZELLE PAYMENT,252.47
12/12/2025,BEST BUY,-262.82
12/12/2025,DIRECT DEPOSIT,3022.27
12/13/2025,DIRECT DEPOSIT,3598.99
12/13/2025,UBER EATS,-28.53
12/15/2025,ZELLE PAYMENT,232.74
12/15/2025,ELECTRIC COMPANY,-138.44
12/16/2025,NORDSTROM,-151.45
12/16/2025,CHIPOTLE MEXICAN GRILL,-14.11
12/17/2025,WHOLE FOODS MARKET,-50.23
12/17/2025,MCDONALDS,-5.37
12/17/2025,NORDSTROM,-109.31
12/18/2025,MCDONALDS,-8.73
12/18/2025,CVS PHARMACY,-17.77
12/19/2025,STARBUCKS COFFEE,-6.20
12/19/2025,DIRECT DEPOSIT,3005.91
12/19/2025,NORDSTROM,-142.60
12/20/2025,CHIPOTLE MEXICAN GRILL,-14.63
12/21/2025,CHIPOTLE MEXICAN GRILL,-8.22
12/21/2025,SHELL GAS STATION,-68.41
12/21/2025,BEST BUY,-187.52
12/21/2025,STARBUCKS COFFEE,-5.51
12/22/2025,SHELL GAS STATION,-54.25
12/23/2025,SHELL GAS STATION,-54.18
12/23/2025,UBER EATS,-21.51
12/23/2025,SHELL GAS STATION,-59.17
12/25/2025,CHIPOTLE MEXICAN GRILL,-15.46
12/25/2025,PANERA BREAD,-15.06
12/25/2025,WATER UTILITY,-51.86
12/26/2025,ELECTRIC COMPANY,-80.27
12/26/2025,WATER UTILITY,-58.88
12/27/2025,WALMART,-72.44
12/28/2025,CVS PHARMACY,-35.71
12/28/2025,CHIPOTLE MEXICAN GRILL,-12.54
